City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Provideniya,64.38,-173.3,50.0,81,90,11.18,RU,1595300962
Vänersborg,58.38,12.32,53.01,87,0,5.82,SE,1595300962
Khatanga,71.97,102.5,56.88,54,93,4.32,RU,1595300962
Hobart,-42.88,147.33,57.99,54,75,12.75,AU,1595300687
Elko,41.0,-115.5,89.01,8,0,5.99,US,1595300962
Playas,-2.63,-80.38,69.15,85,97,11.88,EC,1595300962
Manicoré,-5.81,-61.3,75.04,61,77,1.39,BR,1595300963
Avarua,-21.21,-159.78,77.0,78,100,18.34,CK,1595300963
Arraial do Cabo,-22.97,-42.03,70.45,84,0,18.14,BR,1595300963
Carnarvon,-24.87,113.63,69.8,46,0,11.41,AU,1595300963
Lebu,-37.62,-73.65,50.63,84,100,12.39,CL,1595300963
Goderich,43.75,-81.72,68.0,83,44,8.12,CA,1595300963
Chengde,40.97,117.94,86.77,43,100,1.34,CN,1595300963
Vanavara,60.34,102.28,66.49,44,20,3.24,RU,1595300963
Fairbanks,64.84,-147.72,69.8,56,75,10.67,US,1595300962
Athabasca,54.72,-113.29,65.01,76,100,0.76,CA,1595300963
Richards Bay,-28.78,32.04,55.24,70,0,4.83,ZA,1595300963
Kaniama,-7.57,24.18,57.67,46,0,4.21,CD,1595300963
Sémbé,1.65,14.58,69.44,92,100,2.91,CG,1595300963
Dikson,73.51,80.55,39.79,95,100,12.75,RU,1595300963
Barrow,71.29,-156.79,33.8,86,90,5.82,US,1595300963
Kaitangata,-46.28,169.85,54.0,55,13,1.99,NZ,1595300964
Grootfontein,-19.57,18.12,40.62,69,0,4.59,NA,1595300964
Upernavik,72.79,-56.15,46.99,57,54,7.07,GL,1595300786
Torbay,47.67,-52.73,64.4,93,90,23.04,CA,1595300964
Acapulco de Juárez,16.86,-99.89,84.2,83,75,5.82,MX,1595300964
Kloulklubed,7.04,134.26,87.8,62,75,10.29,PW,1595300964
Hambantota,6.12,81.12,77.0,100,75,2.24,LK,1595300964
Ucluelet,48.93,-125.55,61.0,82,0,1.01,CA,1595300843
Sambava,-14.27,50.17,67.69,78,0,13.02,MG,1595300964
Namatanai,-3.67,152.43,85.17,69,16,6.53,PG,1595300964
Airai,-8.93,125.41,73.02,45,99,3.96,TL,1595300964
Saskylakh,71.92,114.08,60.44,44,100,11.7,RU,1595300964
Sinegor'ye,62.08,150.48,75.04,40,99,1.77,RU,1595300964
Thompson,55.74,-97.86,68.0,64,75,4.7,CA,1595300964
Faanui,-16.48,-151.75,77.32,83,43,25.21,PF,1595300965
Port Elizabeth,-33.92,25.57,53.6,100,75,4.7,ZA,1595300965
Bonavista,48.65,-53.11,59.61,90,99,14.58,CA,1595300965
Niquelândia,-14.47,-48.46,64.89,56,0,4.68,BR,1595300965
Saurimo,-9.66,20.39,55.36,52,0,6.91,AO,1595300965
Ponta Delgada,37.73,-25.67,66.2,88,75,3.36,PT,1595300669
Talnakh,69.49,88.4,51.8,100,75,8.95,RU,1595300965
Arrifes,37.77,-25.7,66.2,88,75,3.36,PT,1595300965
Narsaq,60.92,-46.05,50.0,53,72,4.7,GL,1595300965
Santa María Visitación,14.72,-91.32,55.0,90,99,4.63,GT,1595300965
Hithadhoo,-0.6,73.08,84.02,77,100,11.52,MV,1595300965
Jining,35.41,116.58,84.78,59,100,9.22,CN,1595300966
Katsuura,35.13,140.3,84.0,88,75,5.82,JP,1595300966
Patacamaya,-17.23,-67.92,43.72,56,48,3.36,BO,1595300966
Imbituba,-28.24,-48.67,66.2,93,1,8.05,BR,1595300966
Saldanha,-33.01,17.94,42.8,81,0,3.36,ZA,1595300966
Mondlo,-27.98,30.72,43.27,49,0,4.94,ZA,1595300966
Teknāf,20.86,92.31,82.45,81,100,7.72,BD,1595300684
East London,-33.02,27.91,60.71,43,0,5.26,ZA,1595300966
Adrar,20.5,-10.07,92.61,25,51,8.1,MR,1595300966
Bethel,41.37,-73.41,75.0,83,1,4.72,US,1595300966
Hilo,19.73,-155.09,82.4,65,90,8.05,US,1595300966
Ţahţā,26.77,31.5,82.4,32,0,10.29,EG,1595300850
Saint-Philippe,-21.36,55.77,66.2,63,90,6.93,RE,1595300796
Eureka,40.8,-124.16,59.0,7,66,4.43,US,1595300687
Porto-Vecchio,41.59,9.28,69.8,93,0,4.76,FR,1595300966
Abonnema,4.71,6.79,74.66,91,100,5.14,NG,1595300967
Grindavik,63.84,-22.43,46.4,81,20,2.24,IS,1595300967
Sittwe,20.15,92.9,81.61,83,100,11.56,MM,1595300967
Fort Nelson,58.81,-122.7,66.2,72,90,10.29,CA,1595300967
Rocha,-34.48,-54.33,64.42,88,100,6.53,UY,1595300967
Tortolì,39.93,9.66,71.6,94,5,6.93,IT,1595300967
Souillac,-20.52,57.52,69.8,56,75,11.41,MU,1595300684
Pacific Grove,36.62,-121.92,60.01,82,90,6.93,US,1595300830
Najrān,17.49,44.13,80.6,57,100,4.7,SA,1595300686
Saint George,37.1,-113.58,100.4,12,1,14.99,US,1595300967
Kuçovë,40.8,19.92,64.18,69,0,2.93,AL,1595300967
Hanzhong,33.07,107.03,69.35,91,100,3.06,CN,1595300967
Bentiu,9.23,29.83,68.9,90,62,0.27,SS,1595300967
Wilmington,34.23,-77.94,84.2,74,1,6.93,US,1595300731
Kumul,42.8,93.45,90.14,22,100,2.55,CN,1595300968
Bāneh,36.0,45.89,75.74,27,0,4.81,IR,1595300968
Saravan,39.72,45.65,80.6,44,40,6.93,AM,1595300968
Bambous Virieux,-20.34,57.76,69.8,56,75,11.41,MU,1595300968
Ransang,8.96,117.58,87.58,60,42,3.29,PH,1595300968
Cabo San Lucas,22.89,-109.91,91.4,35,5,14.99,MX,1595300968
Lompoc,34.64,-120.46,62.6,77,6,11.41,US,1595300853
Govindgarh,27.5,76.98,90.57,59,100,7.54,IN,1595300968
Lethem,3.38,-59.8,75.07,86,66,2.8,GY,1595300968
Atuona,-9.8,-139.03,80.4,78,35,18.41,PF,1595300968
Monrovia,6.3,-10.8,76.19,88,100,11.74,LR,1595300782
Aripuanã,-9.17,-60.63,74.25,57,96,2.55,BR,1595300968
Baharly,38.44,57.43,91.85,15,0,7.67,TM,1595300968
Mar del Plata,-38.0,-57.56,51.01,100,90,23.04,AR,1595300803
Strezhevoy,60.73,77.59,64.4,59,0,8.95,RU,1595300968
Te Anau,-45.42,167.72,45.72,86,93,7.2,NZ,1595300669
Linjiang,41.81,126.91,86.86,39,5,2.3,CN,1595300969
Bredasdorp,-34.53,20.04,55.4,93,28,2.24,ZA,1595300969
Mahébourg,-20.41,57.7,69.8,56,75,11.41,MU,1595300828
Mount Gambier,-37.83,140.77,53.6,76,90,8.05,AU,1595300969
Port Lincoln,-34.73,135.87,54.68,69,89,7.27,AU,1595300896
Fort Abbas,29.19,72.85,92.71,55,3,14.99,PK,1595300969
Tuktoyaktuk,69.45,-133.04,42.8,75,90,11.41,CA,1595300969
Mitsamiouli,-11.38,43.28,76.14,70,66,14.58,KM,1595300969
Bonthe,7.53,-12.51,74.73,93,100,8.34,SL,1595300969
Prince Rupert,54.32,-130.32,60.8,100,90,4.7,CA,1595300969
Biltine,14.53,20.92,79.03,60,100,4.56,TD,1595300969
Raudeberg,61.99,5.14,50.0,87,100,3.36,NO,1595300969
Tiznit Province,29.58,-9.5,71.1,52,1,1.77,MA,1595300969
Castro,-24.79,-50.01,54.79,80,9,3.96,BR,1595300970
Klaksvík,62.23,-6.59,46.4,100,11,2.24,FO,1595300970
Zhigansk,66.77,123.37,63.19,90,100,13.04,RU,1595300970
Pevek,69.7,170.31,48.6,56,22,4.5,RU,1595300970
Lüderitz,-26.65,15.16,62.6,34,0,8.05,NA,1595300970
Sindor,62.86,51.89,58.3,67,0,8.41,RU,1595300970
Praia da Vitória,38.73,-27.07,71.6,68,75,4.03,PT,1595300970
Yar-Sale,66.83,70.83,57.74,76,100,7.49,RU,1595300970
Los Llanos de Aridane,28.66,-17.92,71.6,78,75,20.8,ES,1595300970
Deputatsky,69.3,139.9,78.01,46,83,9.82,RU,1595300680
Gbarnga,7.0,-9.47,70.47,99,100,1.83,LR,1595300970
Lavrentiya,65.58,-171.0,46.83,77,100,4.83,RU,1595300970
Mogadishu,2.04,45.34,76.62,82,100,21.16,SO,1595300970
Bosaso,11.28,49.18,88.72,40,0,24.07,SO,1595300970
Dingle,11.0,122.67,83.14,80,42,4.63,PH,1595300971
Kismayo,-0.36,42.55,76.08,81,84,17.69,SO,1595300905
Mergen,49.18,125.22,77.97,32,0,10.92,CN,1595300971
Richmond Hill,43.87,-79.44,69.01,75,10,1.01,CA,1595300805
Kamenka,51.32,42.77,63.0,79,0,3.58,RU,1595300971
Juodupė,56.08,25.62,58.69,97,91,7.2,LT,1595300971
Longyearbyen,78.22,15.64,48.2,81,40,6.93,SJ,1595300820
Quelimane,-17.88,36.89,59.0,93,1,3.36,MZ,1595300971
Khovd,48.01,91.64,76.5,35,100,2.62,MN,1595300971
Kapoeta,4.77,33.59,71.22,79,34,3.76,SS,1595300971
Port Keats,-14.25,129.55,85.08,26,7,8.59,AU,1595300971
Husavik,66.04,-17.34,41.0,100,20,1.12,IS,1595300971
Alekseyevsk,57.84,108.35,68.85,42,0,3.44,RU,1595300971
Udachny,66.42,112.4,51.8,93,90,11.18,RU,1595300971
Mayo,38.89,-76.51,78.8,78,1,10.07,US,1595300972
Tiksi,71.69,128.87,50.97,81,96,9.78,RU,1595300972
Kirakira,-10.45,161.92,81.93,66,1,9.71,SB,1595300901
Cockburn Town,21.46,-71.14,83.1,78,62,22.24,TC,1595300678
Nishihara,26.18,127.76,89.6,70,40,9.17,JP,1595300972
Puerto Ayora,-0.74,-90.35,70.0,86,99,3.0,EC,1595300923
Fuerte Olimpo,-21.04,-57.87,72.45,50,1,5.14,PY,1595300972
Lisala,2.15,21.52,67.21,93,59,1.79,CD,1595300972
Lincoln,40.8,-96.67,75.2,73,1,10.29,US,1595300941
Guaraniaçu,-25.1,-52.88,55.65,96,0,2.39,BR,1595300972
Kuching,1.55,110.33,86.0,74,40,3.36,MY,1595300930
Leningradskiy,69.38,178.42,48.15,62,0,12.06,RU,1595300972
Bitung,1.45,125.18,89.6,55,20,1.12,ID,1595300972
Lyuban',52.8,28.0,58.89,91,2,5.73,BY,1595300972
São João da Barra,-21.64,-41.05,70.61,89,0,9.93,BR,1595300973
Kargat,55.2,80.28,59.29,88,100,11.3,RU,1595300973
Salalah,17.02,54.09,78.8,100,90,3.36,OM,1595300791
Semey,50.41,80.23,84.2,37,3,13.42,KZ,1595300973
Xai-Xai,-25.05,33.64,57.7,90,0,5.03,MZ,1595300973
Bekhtery,46.25,32.29,67.37,83,44,10.89,UA,1595300973
Caravelas,-17.71,-39.25,69.51,88,0,6.26,BR,1595300973
Bengkulu,-3.8,102.27,85.28,62,78,3.29,ID,1595300973
Porto-Novo,6.5,2.6,74.75,91,87,4.85,BJ,1595300973
Olenegorsk,68.15,33.3,64.2,59,24,2.57,RU,1595300973
Sal Rei,16.18,-22.92,78.8,78,75,9.17,CV,1595300973
Blythe,33.61,-114.6,104.0,9,75,10.29,US,1595300973
Altay,47.87,88.12,70.95,51,100,3.02,CN,1595300704
Grass Valley,39.22,-121.06,82.0,39,1,3.13,US,1595300845
Bubaque,11.28,-15.83,78.8,86,100,13.85,GW,1595300973
Viedma,-40.81,-63.0,46.99,91,100,1.99,AR,1595300973
Vila Velha,-20.33,-40.29,68.0,94,40,3.36,BR,1595300974
Hare Bay,48.85,-54.01,66.2,82,75,6.93,CA,1595300974
Gunjur,13.2,-16.73,75.2,100,75,13.38,GM,1595300974
Osakarovka,50.56,72.57,75.78,55,34,8.19,KZ,1595300974
Hamilton,39.18,-84.53,81.0,78,75,3.36,US,1595300974
Aksu,41.12,80.26,76.68,41,26,3.8,CN,1595300974
Opuwo,-18.06,13.84,51.8,47,0,8.12,NA,1595300916
Oddur,4.12,43.89,69.39,80,48,17.29,SO,1595300974
U Thong,14.38,99.89,88.43,62,100,5.46,TH,1595300974
Nome,64.5,-165.41,55.99,81,90,12.75,US,1595300879
Alice Springs,-23.7,133.88,53.6,71,75,13.87,AU,1595300831
Muros,42.78,-9.06,66.99,77,5,5.01,ES,1595300865
Tazovsky,67.47,78.7,51.8,78,100,11.99,RU,1595300974
San Juan,-31.54,-68.54,48.6,68,10,9.84,AR,1595300974
Alofi,-19.06,-169.92,80.6,88,40,9.17,NU,1595300975
Abu Kamal,34.45,40.92,83.05,25,0,11.77,SY,1595300944
Sangar,63.92,127.47,70.66,58,100,22.12,RU,1595300975
Laguna,38.42,-121.42,78.8,44,1,9.17,US,1595300975
Owando,-0.48,15.9,69.01,94,14,2.68,CG,1595300975
Juruti,-2.15,-56.09,78.13,64,12,2.64,BR,1595300975
Esperance,-33.87,121.9,53.6,66,100,17.22,AU,1595300975
Halifax,44.65,-63.57,68.0,90,34,9.73,CA,1595300976
Abu Samrah,35.3,37.18,71.6,58,0,10.07,SY,1595300976
Bud,39.45,-86.18,78.01,79,68,4.07,US,1595300900
Isangel,-19.55,169.27,77.0,65,20,9.17,VU,1595300976
Bluefield,37.27,-81.22,73.4,83,1,3.36,US,1595300976
Loyga,61.08,44.61,62.38,79,100,7.2,RU,1595300976
Harper,4.38,-7.72,75.34,90,37,8.34,LR,1595300976
Asău,46.43,26.4,55.99,98,1,5.28,RO,1595300976
Araouane,18.9,-3.53,95.68,28,73,13.8,ML,1595300976
Beringovskiy,63.05,179.32,46.99,75,95,10.27,RU,1595300977
Fernley,39.61,-119.25,91.0,16,74,11.01,US,1595300680
Batagay-Alyta,67.8,130.41,75.92,60,100,5.77,RU,1595300977
Lagoa,39.05,-27.98,68.4,70,0,2.84,PT,1595300977
Newport,51.59,-3.0,55.0,81,36,6.33,GB,1595300977
Pozo Colorado,-23.49,-58.8,72.97,50,0,7.52,PY,1595300977
Samarinda,-0.5,117.15,84.04,80,67,2.44,ID,1595300977
Waipawa,-41.41,175.52,54.0,85,100,9.26,NZ,1595300977
Plettenberg Bay,-34.05,23.37,59.77,45,0,6.55,ZA,1595300978
Flinders,-34.58,150.86,60.01,38,10,8.05,AU,1595300978
Clarence Town,-32.58,151.78,62.01,59,20,12.75,AU,1595300978
San Patricio,19.22,-104.7,84.2,79,40,18.34,MX,1595300978
Aklavik,68.22,-135.01,48.2,70,75,5.82,CA,1595300978
Kruisfontein,-34.0,24.73,52.52,94,0,5.26,ZA,1595300978
Čaška,41.65,21.66,59.0,82,0,2.44,MK,1595300978
Hay River,60.82,-115.8,68.0,72,75,9.17,CA,1595300978
Yumen,40.28,97.2,82.8,22,100,17.54,CN,1595300978
Avera,33.19,-82.53,80.6,65,1,3.36,US,1595300978
Tupik,54.43,119.93,53.96,91,100,5.44,RU,1595300978
Clyde River,70.47,-68.59,42.8,100,90,10.29,CA,1595300979
Inhambane,-23.86,35.38,67.03,66,100,5.28,MZ,1595300979
Sisimiut,66.94,-53.67,50.25,78,100,4.65,GL,1595300979
Gweta,-20.18,25.23,47.86,75,0,8.16,BW,1595300979
Geraldton,-28.77,114.6,62.6,59,0,23.04,AU,1595300979
Hofn,64.25,-15.21,52.61,75,93,1.16,IS,1595300979
Cidreira,-30.18,-50.21,65.35,82,55,5.03,BR,1595300979
Livingstone,-17.84,25.85,46.02,62,0,2.68,ZM,1595300979
Tahoua,14.89,5.27,82.4,61,100,6.93,NE,1595300979
Zyryanka,65.75,150.85,82.04,35,75,20.6,RU,1595300979
Tolstoy-Yurt,43.44,45.77,80.6,51,45,13.42,RU,1595300980
Soyo,-6.13,12.37,71.26,88,40,5.1,AO,1595300790
Rundu,-17.93,19.77,46.24,56,0,5.12,NA,1595300980
Hobyo,5.35,48.53,77.23,71,90,21.54,SO,1595300980
Gisors,49.28,1.78,53.6,71,0,5.82,FR,1595300980
Tautira,-17.73,-149.15,82.4,61,20,4.7,PF,1595300980
Zelenogorskiy,55.03,87.0,62.6,100,90,8.95,RU,1595300980
Haines Junction,60.75,-137.51,63.05,50,14,7.9,CA,1595300980
Clovis,36.83,-119.7,96.8,23,20,11.41,US,1595300980
Mackay,-21.15,149.2,73.99,56,100,14.99,AU,1595300860
Vila,42.03,-8.16,63.0,86,25,1.99,PT,1595300981
Burnie,-41.07,145.92,57.0,57,55,11.99,AU,1595300981
Río Hato,8.38,-80.17,78.01,99,100,10.22,PA,1595300981
Iqaluit,63.75,-68.51,42.8,100,90,2.73,CA,1595300981
Ishinomaki,38.42,141.3,69.8,88,75,9.17,JP,1595300981
Bonfim,3.08,-59.95,75.83,85,80,1.83,BR,1595300916
Katherine,-14.47,132.27,82.4,13,67,11.41,AU,1595300981
Dunmore Town,25.5,-76.65,83.62,78,94,17.78,BS,1595300981
Benito Juarez,19.39,-99.17,64.4,63,90,10.29,MX,1595300833
Bose,45.46,8.01,69.01,63,0,3.47,IT,1595300982
Whitehorse,60.72,-135.05,71.6,33,40,14.99,CA,1595300949
Mossamedes,-15.2,12.15,65.66,58,0,3.91,AO,1595300982
Natal,-5.79,-35.21,71.6,94,40,4.7,BR,1595300924
Fortuna,40.6,-124.16,57.0,100,90,6.93,US,1595300828
Keti Bandar,24.14,67.45,86.81,74,86,22.79,PK,1595300982
Aranos,-24.13,19.12,47.23,49,0,12.8,NA,1595300982
Sioux Lookout,50.1,-91.92,64.4,59,75,2.24,CA,1595300693
Bela,25.93,81.98,89.53,63,100,11.18,IN,1595300982
Ahipara,-35.17,173.17,58.75,81,9,14.9,NZ,1595300797
Santa Rosa,14.31,121.11,90.0,66,14,10.29,PH,1595300982
High Level,58.52,-117.14,73.4,64,75,5.82,CA,1595300914
Mae Hong Son,19.3,97.97,78.8,94,75,0.4,TH,1595300983
Alikalia,9.17,-11.4,69.42,98,100,1.79,SL,1595300983
Mackenzie,55.3,-123.17,62.6,82,90,4.63,CA,1595300983
Ayan,56.45,138.17,52.38,94,100,15.39,RU,1595300983
Mashhad,36.3,59.61,80.6,26,0,6.93,IR,1595300790
Shangrao,28.45,117.97,89.92,66,100,1.57,CN,1595300983
Lorengau,-2.02,147.27,86.16,63,59,8.57,PG,1595300878
Ancud,-41.87,-73.82,48.0,100,90,2.24,CL,1595300983
Kungurtug,50.6,97.52,77.41,31,97,1.43,RU,1595300983
Yangi Marg`ilon,40.43,71.72,80.6,32,0,2.24,UZ,1595300983
Teófilo Otoni,-17.86,-41.51,65.03,93,57,2.42,BR,1595300983
Harbour Breton,47.48,-55.8,59.95,92,76,10.69,CA,1595300983
Vao,-22.67,167.48,68.76,66,90,13.98,NC,1595300983
Hirado,33.36,129.55,87.01,83,75,8.05,JP,1595300984
Yerbogachën,61.28,108.01,64.76,47,71,8.95,RU,1595300696
Blackwater,-23.58,148.88,68.83,35,100,9.93,AU,1595300984
Peruíbe,-24.32,-47.0,65.55,69,0,3.98,BR,1595300984
Baraki Barak,33.97,68.95,71.87,23,0,5.3,AF,1595300984
Rairangpur,22.27,86.18,82.4,88,75,4.7,IN,1595300984
Assiut,27.18,31.18,75.2,36,0,8.05,EG,1595300984
Chapais,49.78,-74.85,53.6,93,90,9.17,CA,1595300984
Moanda,-1.56,13.22,69.35,90,100,1.66,GA,1595300984
Saint-Augustin,51.23,-58.65,61.25,97,99,10.51,CA,1595300985
Saint-Pierre,-21.34,55.48,64.4,63,90,6.93,RE,1595300686
Diffa,13.32,12.61,81.03,57,88,12.8,NE,1595300985
Byron Bay,-28.65,153.62,66.99,52,100,14.99,AU,1595300985
Wattegama,6.8,81.48,77.0,100,75,2.24,LK,1595300985
Ulaanbaatar,47.91,106.88,73.4,38,0,2.24,MN,1595300985
Agadez,19.75,10.25,86.05,22,76,5.79,NE,1595300985
Burkburnett,34.1,-98.57,86.0,51,1,9.17,US,1595300986
Angoram,-4.06,144.07,92.32,50,0,3.22,PG,1595300986
Hong Kong,22.29,114.16,91.99,62,26,8.99,HK,1595300827
Havøysund,71.0,24.66,51.8,100,90,17.22,NO,1595300986
Dalbandin,28.89,64.41,86.5,22,0,5.97,PK,1595300986
Pisco,-13.7,-76.22,57.2,87,0,2.24,PE,1595300883
Vorukh,39.85,70.58,73.51,27,2,2.08,TJ,1595300986
Norman Wells,65.28,-126.83,62.6,77,75,13.87,CA,1595300986
Ambovombe,-25.17,46.08,57.06,79,0,4.05,MG,1595300827
Vanimo,-2.67,141.3,86.97,61,34,8.7,PG,1595300986
Ferry Pass,30.51,-87.21,84.99,79,1,3.36,US,1595300987
Zanjān,36.67,48.48,75.2,41,0,6.17,IR,1595300987
Verkhneural'sk,53.88,59.21,64.4,77,40,11.18,RU,1595300987
Portadown,54.42,-6.44,51.8,87,35,2.24,GB,1595300987
Cefalù,38.04,14.02,72.0,75,0,1.01,IT,1595300987
Phetchaburi,12.97,99.58,82.4,83,40,0.96,TH,1595300987
Sola,-13.88,167.55,76.57,68,100,13.13,VU,1595300825
Río Gallegos,-51.62,-69.22,17.6,85,3,3.36,AR,1595300987
Xinqing,48.23,129.5,82.51,35,0,8.37,CN,1595300707
Ostrovnoy,68.05,39.51,64.38,56,0,6.64,RU,1595300988
Santa Isabel Rio Negro,-0.41,-65.02,73.44,92,97,2.37,BR,1595300988
Abnūb,27.27,31.15,75.2,36,0,8.05,EG,1595300988
Christchurch,-43.53,172.63,62.6,42,17,11.41,NZ,1595300734
Grand Gaube,-20.01,57.66,69.01,61,71,7.0,MU,1595300988
Khandyga,62.67,135.6,81.55,38,97,12.06,RU,1595300988
Sayyan,15.17,44.32,59.0,79,100,1.48,YE,1595300988
Yertsevo,60.8,40.09,59.67,80,100,6.06,RU,1595300988
Kavaratti,10.57,72.64,82.67,81,100,18.16,IN,1595300988
Chatham,51.38,0.53,53.01,89,0,5.19,GB,1595300988
Balkhash,46.84,74.98,80.6,30,20,11.18,KZ,1595300988
Mumford,5.26,-0.76,74.43,93,100,7.74,GH,1595300989
Máncora,-4.11,-81.05,66.09,77,43,10.8,PE,1595300989
Bairiki Village,1.33,172.98,82.4,78,75,2.24,KI,1595300989
Belaya Gora,68.53,146.42,87.35,27,27,8.79,RU,1595300989
Skibbereen,51.55,-9.27,51.8,81,40,8.05,IE,1595300913
Ambilobe,-13.2,49.05,62.15,75,37,3.44,MG,1595300989
Neiafu,-18.65,-173.98,78.8,88,75,4.7,TO,1595300990
Salinópolis,-0.61,-47.36,77.61,83,8,9.35,BR,1595300990
Prince George,53.92,-122.75,73.99,64,1,3.36,CA,1595300746
Yulara,-25.24,130.99,57.2,62,40,16.11,AU,1595300882
Henties Bay,-22.12,14.28,62.01,48,0,1.01,NA,1595300990
Kwang Binh,17.48,106.6,91.22,55,100,8.14,VN,1595300990
Luancheng,37.88,114.65,80.6,74,100,4.47,CN,1595300990
Bachaquero,9.97,-71.15,82.2,76,100,6.08,VE,1595300990
Kahului,20.89,-156.47,86.0,51,20,25.28,US,1595300990
São José da Coroa Grande,-8.9,-35.15,73.81,77,77,12.37,BR,1595300991
Murray Bridge,-35.12,139.27,52.0,81,100,2.26,AU,1595300991
Prattville,32.46,-86.46,82.4,78,1,4.7,US,1595300930
Gizo Government Station,-8.1,156.84,81.28,82,39,20.09,SB,1595300991
Olinda,-8.01,-34.86,78.8,65,40,10.29,BR,1595300991
Uglegorsk,49.08,142.03,68.32,71,100,6.73,RU,1595300991
Alyangula,-13.85,136.42,77.0,57,40,6.93,AU,1595300991
Buchanan,5.88,-10.05,75.76,89,98,8.77,LR,1595300992
Constantine,36.37,6.61,69.8,60,0,1.12,DZ,1595300992
Tuskegee,32.42,-85.69,78.01,100,71,1.01,US,1595300992
Rockhampton,-23.38,150.5,69.8,49,100,8.05,AU,1595300992
Platteville,42.73,-90.48,70.0,100,40,3.36,US,1595300992
Cooma,-36.23,149.13,46.4,61,12,12.75,AU,1595300804
San Quintín,30.48,-115.95,67.32,77,0,15.52,MX,1595300992
Evensk,61.95,159.23,68.79,40,0,11.25,RU,1595300993
Gazojak,41.19,61.4,89.08,17,0,18.48,TM,1595300994
Abay,49.63,72.85,73.4,56,18,8.95,KZ,1595300798
Dhidhdhoo,6.88,73.1,81.81,79,100,16.93,MV,1595300994
Bakal,54.94,58.81,62.65,93,20,2.53,RU,1595300994
Garoowe,8.41,48.48,74.43,56,97,27.67,SO,1595300994
Angoche,-16.23,39.91,68.23,84,18,9.35,MZ,1595300994
